seed,organ,jamming,pmax_avoidance,pmax_reachability,pmax_safety,n_states,error
20,Pancreas,0,0.8073280960039642,0.8073280960039642,0.8942924530404662,142,
20,Kidneys,0,0.8073280960039642,0.8073280960039642,0.8942924530404662,142,
20,Heart,1,0.7848026392038693,0.7848026392038693,0.6069463093489316,273,
20,Lungs,1,0.7839177241503706,0.7839177241503706,0.6069463093489316,273,
20,Liver,1,0.7830338326543709,0.7830338326543709,0.6069463093489316,273,
20,Intestines,1,0.7847491619014278,0.7847491619014278,0.6069463093489316,273,
20,Pancreas,1,0.7856354741553613,0.7856354741553613,0.6069463093489316,273,
20,Kidneys,1,0.7838640329194775,0.7838640329194775,0.6069463093489316,273,
21,Heart,0,0.9678986686640593,0.9678986686640593,0.9782903609094851,140,
21,Lungs,0,0.9782894433974318,0.9782894433974318,0.9782903609094851,140,
21,Liver,0,0.9782894433973066,0.9782894433973066,0.9782903609094851,140,
21,Intestines,0,0.9678982289091811,0.9678982289091811,0.9782903609094851,140,
21,Pancreas,0,0.9678991217501108,0.9678991217501108,0.9782903609094851,140,
21,Kidneys,0,0.9678991283022897,0.9678991283022897,0.9782903609094851,140,
21,Heart,1,0.9305786807613987,0.9305786807613987,0.7429485113115768,270,
21,Lungs,1,0.9271091349005356,0.9271091349005356,0.7429485113115768,270,
21,Liver,1,0.9291904506647992,0.9291904506647992,0.7429485113115768,270,
21,Intestines,1,0.9316144837860609,0.9316144837860609,0.7429485113115768,270,
21,Pancreas,1,0.9322686255923116,0.9322686255923116,0.7429485113115768,270,
21,Kidneys,1,0.9333585181804519,0.9333585181804519,0.7429485113115768,270,
22,Heart,0,0.9095317280294173,0.9095317280294173,0.9400164897279194,141,
22,Lungs,0,0.9095161288849403,0.9095161288849403,0.9400164897279194,141,
22,Liver,0,0.9095313737061884,0.9095313737061884,0.9400164897279194,141,
22,Intestines,0,0.9095162127506546,0.9095162127506546,0.9400164897279194,141,
22,Pancreas,0,0.9095154803978786,0.9095154803978786,0.9400164897279194,141,
22,Kidneys,0,0.9095163509853075,0.9095163509853075,0.9400164897279194,141,
22,Heart,1,0.8605111202873497,0.8605111202873497,0.7155253978841917,276,
22,Lungs,1,0.8295547264096539,0.8295547264096539,0.7155253978841917,276,
22,Liver,1,0.844994974406457,0.844994974406457,0.7155253978841917,276,
22,Intestines,1,0.8307756240300656,0.8307756240300656,0.7155253978841917,276,
22,Pancreas,1,0.8297812210466606,0.8297812210466606,0.7155253978841917,276,
22,Kidneys,1,0.8444739767290707,0.8444739767290707,0.7155253978841917,276,
23,Heart,0,0.9103613743679974,0.9103613743679974,0.9795918367346939,143,
23,Lungs,0,0.9103614857237087,0.9103614857237087,0.9795918367346939,143,
23,Liver,0,0.910362107405051,0.910362107405051,0.9795918367346939,143,
23,Intestines,0,0.910361818049069,0.910361818049069,0.9795918367346939,143,
23,Pancreas,0,0.9103619216249443,0.9103619216249443,0.9795918367346939,143,
23,Kidneys,0,0.9103618199435021,0.9103618199435021,0.9795918367346939,143,
23,Heart,1,0.7912375284674483,0.7912375284674483,0.7504580978910144,284,
23,Lungs,1,0.791120441068348,0.791120441068348,0.7504580978910144,284,
23,Liver,1,0.7912811794215157,0.7912811794215157,0.7504580978910144,284,
23,Intestines,1,0.7909822966956355,0.7909822966956355,0.7504580978910144,284,
23,Pancreas,1,0.7921454944726372,0.7921454944726372,0.7504580978910144,284,
23,Kidneys,1,0.790944560426939,0.790944560426939,0.7504580978910144,284,
24,Heart,0,0.9596042069712876,0.9596042069712876,0.9999999540509346,144,
24,Lungs,0,0.9596042069712876,0.9596042069712876,0.9999999540509346,144,
24,Liver,0,0.9596042069712876,0.9596042069712876,0.9999999540509346,144,
24,Intestines,0,0.9596042069712876,0.9596042069712876,0.9999999540509346,144,
24,Pancreas,0,0.9596042069712876,0.9596042069712876,0.9999999540509346,144,
24,Kidneys,0,0.9596042069712876,0.9596042069712876,0.9999999540509346,144,
24,Heart,1,0.8574544970111097,0.8574544970111097,0.7611658128107264,285,
24,Lungs,1,0.8572933068445722,0.8572933068445722,0.7611658128107264,285,
24,Liver,1,0.8587101146464333,0.8587101146464333,0.7611658128107264,285,
24,Intestines,1,0.8727053989171689,0.8727053989171689,0.7611658128107264,285,
24,Pancreas,1,0.8579125463860905,0.8579125463860905,0.7611658128107264,285,
24,Kidneys,1,0.856730884173791,0.856730884173791,0.7611658128107264,285,
25,Heart,0,0.9995835068719028,0.9995835068719028,1.0,144,
25,Lungs,0,0.9995835068719028,0.9995835068719028,1.0,144,
25,Liver,0,0.9995835068719028,0.9995835068719028,1.0,144,
25,Intestines,0,0.9995835068719028,0.9995835068719028,1.0,144,
25,Pancreas,0,0.9995835068719028,0.9995835068719028,1.0,144,
25,Kidneys,0,0.9995835068719028,0.9995835068719028,1.0,144,
25,Heart,1,0.9798064322709236,0.9798064322709236,0.7648542210145876,287,
25,Lungs,1,0.9797402996195784,0.9797402996195784,0.7648542210145876,287,
25,Liver,1,0.9819726508499547,0.9819726508499547,0.7648542210145876,287,
25,Intestines,1,0.9786348814296483,0.9786348814296483,0.7648542210145876,287,
25,Pancreas,1,0.9753943744684709,0.9753943744684709,0.7648542210145876,287,
25,Kidneys,1,0.9809311645869572,0.9809311645869572,0.7648542210145876,287,
26,Heart,0,0.9173507656014606,0.9173507656014606,0.9579089267588651,142,
26,Lungs,0,0.9173508071112434,0.9173508071112434,0.9579089267588651,142,
26,Liver,0,0.9173508017333928,0.9173508017333928,0.9579089267588651,142,
26,Intestines,0,0.9173507655930981,0.9173507655930981,0.9579089267588651,142,
26,Pancreas,0,0.9173508100253994,0.9173508100253994,0.9579089267588651,142,
26,Kidneys,0,0.9579089267588632,0.9579089267588632,0.9579089267588651,142,
26,Heart,1,0.7535517392051683,0.7535517392051683,0.7270595521474825,279,
26,Lungs,1,0.7568756056237268,0.7568756056237268,0.7270595521474825,279,
